X,Y,OBJECTID,SHELTER_CODE,STATUS,OS_EASTING,OS_NORTHING,CREATED_ON,STOP_STOP_ID,COUNTDOWN_SIGN,ROAD_NAME,DIRECTION,LOCALITY,TOWN,FEATURE_LOCATION,SMS_CODE,ELECTRICITY_BOARD,POST_OWNER,SHELTER_OWNER,POSTCODE,LAST_CLEANED,UPDATED_ON
531944.000000143,185487.999999548,67707,0119/3389,A,531944,185488,,13494,,HIGHBURY GROVE,S/B,ISLINGTON,LONDON,"30M S OF KELVIN ROAD, O/S LONDON SCREEN ACADEMY",49525,UKPN London Hub,Transport for London,Transport for London,N5 1HH,2024/01/05 20:43:07+00,20220722154937
523637.000000072,171251.999999551,67708,0124/F0060,A,523637,171252,,4222,,PARKSIDE,,,,,,,,,,,20210817042606
528872.000000147,164103.999999437,67709,0129/0056,A,528872,164104,,19759,,MANOR ROAD,S/B,Wallington North,Wallington,"O/S 85,ADJ""THE MELBOURNE""PH, N OF MELBOURNE ROAD.    (PT A)",74593,UKPN London Hub,Transport for London,Transport for London,SM6 0DH,2024/01/21 22:50:11+00,20210817042745
531808.000000174,172565.999999528,67710,0122/0213,A,531808,172566,,6682,,NORWOOD ROAD,N/B,,LAMBETH,"O/S 274, N OF YORK HILL",56931,UKPN London Hub,Transport for London,Transport for London,SE27 9AJ,2023/08/08 02:53:14+00,20210817042858
533454.000000146,159456.999999477,67711,0108/1010,A,533454,159457,,5603,,GODSTONE ROAD,W/B,,Croydon,"O/S 354, N OF PT OPP DEVON CLOSE",49347,UKPN London Hub,Transport for London,Transport for London,CR3 0YR,2024/02/13 02:31:35+00,20210817042210
530756.000000253,195338.999999516,67712,0110/3477,A,530756,195339,,19339,,EVERSLEY PARK ROAD,N/B,,WINCHMORE HILL,"O/S SIDE WALL OF 2A HOLLY HILL, N OF HOLLY HILL",53747,UKPN London Hub,Transport for London,Transport for London,N21 1PE,2024/02/16 00:53:25+00,20210817042235
530572.000000154,181676.999999498,67713,0107/F0026,A,530572,181677,,2890,,PROCTER STREET,,,,,,,,,,,20210817042146
551003.000000305,188970.999999151,67714,0116/0025,A,551003,188971,,3070,,ST EDWARDS WAY,S/B,,ROMFORD,"64M S OF ANGEL WAY (NORTH ARM).  MAWNEY ROAD, 145M N OF.",76283,UKPN London Hub,Transport for London,Transport for London,RM1 1JH,2024/01/30 22:43:15+00,20210817042407
533430.000000185,169134.99999952,67715,0108/1143,A,533430,169135,,8971,,SOUTH NORWOOD HILL,S/B,,Croydon,"O/S 224, OPP ROSS ROAD, S OF FALKLAND PARK AVENUE",71055,UKPN London Hub,Council,Transport for London,SE25 6AT,2024/02/13 23:59:20+00,20230105183737
512913.00000005,189245.999999598,67716,0115/7755,A,512913,189246,,3631,,PINNER ROAD,E/B,,HAR.+ N.HAR.,"CAPEL GARDENS, 29.5 M W OF;  MELROSE ROAD, 21 M W OF & OPP. OPP. No 675",77016,UKPN London Hub,Transport for London,Transport for London,HA5 5RE,2024/01/31 22:42:50+00,20230614093719
531410.000000364,167486.999999374,67717,0108/0052,A,531410,167487,,77,,LONDON ROAD,S/B,,Croydon,"O/S 610 (JUSTIN COURT), S OF KINGSWOOD AVENUE",71410,UKPN London Hub,Transport for London,Transport for London,CR7 7HU,2024/02/08 01:32:10+00,20210817042135
541633.000000142,174714.999999358,67718,0111/0285,A,541633,174715,,6334,,WESTHORNE AVENUE,N/B,,ELTHAM,"O/S 505/507, N OF KEELING ROAD",76864,UKPN London Hub,Transport for London,Transport for London,SE9 6DJ,2024/01/22 02:45:19+00,20210817042240
518770.000000053,164712.999999579,67719,0121/4048,A,518770,164713,,19976,,COX LANE,E/B,,CHESSINGTON,"OLD OAK CLOSE, 5.3 M E OF & OPP. COX LANE RAILWAY BRIDGE, 36.5 M W OF.",47721,UKPN London Hub,Transport for London,Transport for London,KT91DH,2024/01/15 23:08:40+00,20210817042430
